"UnitCode","UnitName","Faculty","CreditPoints","EFTSL","Preqs","Proh","SCABand","Sypnosis",,,,,,,,,
"ATS3093","Specialist topic in media, film and journalism","Faculty of Arts","[]",6,0.125,"Twelve credit points of second-year Arts units.",,1,"This unit comprises study of topics which vary from year to year but will be broadly defined within the disciplines of media, film and journalism. The themes and foci of this unique unit will be developed around current research projects housed in the school of MFJ. It will include media based artists-in-residence and visiting research fellows whose projects will provide students with an opportunity to develop skills in practice-led research. Students will come to appreciate that practice-led research is concerned with the nature of practice and leads to new knowledge that has operational significance for that practice and cultural policy. They will consider and debate the specific research problem at the core of the researcher's current project, exposing students to the rigorous scholarship and methodologies such as action research. They will consider the relevance of practice-led research for social and cultural theory. The results of their study may be communicated in text form such as a traditional research essay or as a creative outcome. In addition, students will be given the opportunity to reflect on their experience, and to meet with high profile researchers and media practitioners in small groups, where they are able to ask questions and share their experience.",,,,,,,,
"ATS3094","The music business: How to be successful in the music industry","Faculty of Arts","[[['Clayton'], ['First semester 2017 (Day)']]]",6,0.125,"Twelve credit points of second-year Arts units.",,1,"This unit examines fundamental concepts and business practices of the Australian music industry, focusing on the practical knowledge and transferable skills required to commence and maintain a professional career in the music industry. It explores the interaction of music and culture mediated through business institutions and includes an introduction to self-management, copyright, record companies and the recording process. Attention is paid to the Australian music industry and some comparison with overseas practices is made.",,,,,,,,
"ATS3095","German proficient 1","Faculty of Arts","[[['Clayton'], ['First semester 2017 (Day)']]]",6,0.125,"ATS2094 or equivalent","ATS2095, ATS3097, ATS3099",1,"A communicative course designed to further speaking and reading skills in German. The emphasis is on learning to use German correctly in discussing a variety of topics. Component 2 will focus on the highly productive artistic and intellectual developments in modern German and Austrian culture.",,,,,,,,
"ATS3096","German proficient 2","Faculty of Arts","[[['Clayton'], ['Second semester 2017 (Day)']]]",6,0.125,"ATS3095 or equivalent","ATS2096, ATS3098, ATS3100",1,"A communicative course designed to further speaking and reading skills in German. The emphasis is on learning to use German correctly in discussing a variety of topics. Component 2 will focus on the highly productive artistic and intellectual developments in modern German and Austrian culture.",,,,,,,,
"ATS3097","German advanced 1","Faculty of Arts","[[['Clayton'], ['First semester 2017 (Day)']]]",6,0.125,"ATS3096 or equivalent","ATS3099",1,"Component 1: A communicative course designed to further speaking and reading skills in German. The emphasis is on learning to use German correctly in discussing a variety of topics. Component 2 will focus on the highly productive artistic and intellectual developments in modern German and Austrian culture.",,,,,,,,
"ATS3098","German advanced 2","Faculty of Arts","[[['Clayton'], ['Second semester 2017 (Day)']]]",6,0.125,"ATS3097 or equivalent","ATS3100",1,"Component 1: A communicative course designed to further speaking and reading skills in German. The emphasis is on learning to use German correctly in discussing a variety of topics. Component 2 will focus on the highly productive artistic and intellectual developments in modern German and Austrian culture.",,,,,,,,
"ATS3099","German advanced 3","Faculty of Arts","[[['Clayton'], ['First semester 2017 (Day)']]]",6,0.125,"ATS3098 (or equivalent)",,1," Component 1: A communicative language unit designed to further advanced writing, speaking and reading skills in German. The emphasis is on correct and appropriate use of structure, styles and registers across a variety of topics.Component 2: Will focus on the literary, artistic and intellectual developments in modern German and Austrian culture.",,,,,,,,
"ATS3100","German advanced 4","Faculty of Arts","[[['Clayton'], ['Second semester 2017 (Day)']]]",6,0.125,"ATS3099 or equivalent","ATS3095, ATS3097",1," Component 1: A communicative language unit designed to further advanced writing, speaking and reading skills in German. The emphasis is on correct and appropriate use of structure, styles and registers across a variety of topics.Component 2: Will focus on the literary, artistic and intellectual developments in modern German and Austrian culture.",,,,,,,,
"ATS3102","German dialects and dialectology","Faculty of Arts","[[['Clayton'], ['Second semester 2017 (Day)']]]",6,0.125,"ATS3096 or equivalent",,1,"This unit introduces German dialects and dialectology. The course will explore traditional methods (speech atlases, dialect maps) and structural dialectology, and provide students with a background in regional and historical dialectology. The students will also be introduced to contemporary dialectology: social dialects, dialect as a group identity marker (youth, age and gender), sociology of dialects with particular reference to dialect and central processes of societal change, dialect and standard language, and dialect and the education system.",,,,,,,,
"ATS3104","German literature in the age of Goethe","Faculty of Arts","[[['Clayton'], ['First semester 2017 (Day)']]]",6,0.125,"ATS3096 or equivalent",,1,"This unit will explore German literature in the Age of Goethe, focussing on key issues such as national identity and the construction of the self within the framework of political and social change. It will encourage a close critical reading of texts produced mainly between 1770 and 1830, examining modes of narratives in the light of contemporary theory.",,,,,,,,
"ATS3105","On the brink of modernity (Germany and Europe 1890-1920)","Faculty of Arts","[]",6,0.125,"German proficient 2 or equivalent",,1,"This unit will examine Austrian and German literature at the turn of the century and will focus on the intellectual life of the urban centres, cultural criticism, the nascent youth movement and new conceptualizations of corporality and the workings of the psyche.",,,,,,,,
"ATS3108","Introduction to the study of media culture from a German studies perspective","Faculty of Arts","[]",6,0.125,"ATS2095 or ATS3095",,1,"Since the invention of the printing press in the 15th century, the reproduction of knowledge and social practice has become increasingly reliant and dependent on mass media. The general relation between culture, media and society on one hand and how it shows up in the design of media products will be the topic of this introductory unit. The unit will provide insights into advanced media theory and put historical media phenomena into perspective.",,,,,,,,
"ATS3111","Leadership for social change 3","Faculty of Arts","[[['Clayton'], ['Second semester 2017 (Day)']]]",12,0.25,"ATS2086",,1,"This unit builds on the foundations of the Leadership for Social Change 1 and 2. Working through problem-based learning scenarios, students will be expected to demonstrate their knowledge of forms of leadership and their link to addressing questions of global challenges and the drivers of social change. The unit will provide a forum in which students will bring together both discipline-specific and interdisciplinary skills that they have acquired over their study. Students will build on the synthesising of this knowledge to formulate practical and innovative approaches to global challenges.",,,,,,,,
"ATS3113","Reporting the arts circuit","Faculty of Arts","[[['Caulfield'], ['Second semester 2017 (Day)', 'Second semester 2017 (Online)']]]",6,0.125,"Twelve credit points of second-year Arts units. As this is a third-year level unit, it is highly recommended that students only take this unit after they have completed two second-year level units in Journalism or Journalism practice.",,1,"This unit explores the research and journalism practices associated with Reporting the Arts Circuit across film, literature, visual and performing arts. Students will learn how to canvass contemporary issues and case studies with key personalities and institutions. Students will also critically consider the professional and social implications of reporting the arts circuit. Please be aware that access to certain technology/equipment may be required for this unit. Contact the unit coordinator for details. The successful reportage will be showcased on Monash's journalism website, Mojo, or published on lifestyle websites.",,,,,,,,
"ATS3114","The camera at war: Combat photography and the visual language of conflict","Faculty of Arts","[]",6,0.125,"Twelve credit points of second-year Arts units.",,1,"Through lectures, seminars, workshops, and a field trip the unit will study how war photography from across the globe has developed a grammar of its own, referencing the visual arts and the broader history of photography, which has served to powerfully shape perceptions of and responses to war from the mid-nineteenth century to the present day. It will examine how the photographic representation of conflict has been informed and inflected by a range of constraints and influences - cultural, technological, commercial, and political. It will examine specific case studies to demonstrate how particular images have framed, fixed and challenged the public's understanding of the conduct and purposes of particular conflicts.  The unit will examine the work of both professional and amateur photographers, it will consider the formal regimes of censorship, propaganda, collection and distribution whereby photographs are prepared for or withheld from public release and/or archived in museums and galleries. The unit will equip students with the skills necessary to offer a sophisticated reading of the photograph and encourage them to interrogate how, why, for whom and with what purposes visual images of conflict are framed, formed, encoded and deployed, and how over time, in different geographical and cultural contexts, these images have emerged and developed.",,,,,,,,
"ATS3115","Indonesian 5: Indonesian political culture","Faculty of Arts","[[['Clayton'], ['First semester 2017 (Day)']]]",6,0.125,"ATS2114 or placement test or unit coordinator's permission","ATS2115",1,"The unit develops Indonesian cultural knowledge and language proficiency through a focus on Indonesian political culture. Passages from Indonesian online and print media and other texts are used to understand and critically analyse Indonesian political culture vis--vis Australian political culture as well as to understand how the relationship between the two comes to bear on Australian-Indonesian relations. Special attention is paid to how speakers and writers vary language styles (e.g. Indonesian, local language) to suit and persuade political and public audiences.",,,,,,,,
"ATS3116","Indonesian 6: Indonesian writing","Faculty of Arts","[[['Clayton'], ['Second semester 2017 (Day)']]]",6,0.125,"ATS3115 or placement test or unit coordinator's permission","ATS2116",1,"The unit develops Indonesian linguistic and cultural proficiency through a focus on Indonesian writing and literature. The unit shows a particular concern with 'new' Indonesian writing but also positions this writing within its historical, cultural and literary context. Students engage with a range of literary texts and Indonesian language styles (e.g. youth, ethnic) and gain an understanding of why and how authors vary their language. Students also learn to critically analyze these Indonesian texts vis--vis literary and cultural conventions in Australia and beyond.",,,,,,,,
"ATS3117","Journalism through cultural interaction: Indonesia and its neighbours","Faculty of Arts","[[['Clayton'], ['First semester 2017 (Day)']]]",6,0.125,"ATS2116 or ATS3116 or placement test or unit coordinator's permission","ATS1117, ATS2117",1,"The unit focuses on the diverse role of journalism in reporting and interpreting events across cultures in the context of Indonesia and its relationship with its neighbors, including Australia. The seminars present topics related to the commercial media, national broadcasters and citizen journalism and discuss the responsibilities and capacity for journalism to mediate and inform public opinion. Workshops provide opportunities for discussion on readings and videos along with the active development of project work related to the media based assignments. The primary language of this unit is Indonesian.",,,,,,,,
"ATS3118","Soft power and Indonesia's performing arts","Faculty of Arts","[[['Clayton'], ['Second semester 2017 (Day)']]]",6,0.125,"ATS2116 or ATS3116 or placement test or coordinator's permission",,1,"The unit introduces aspects of Indonesian film and theatre as assets in regional communication and cultural export. Seminars discuss the success or otherwise of the performing arts in countering negative perceptions of Indonesia and efforts in regional cooperation. Consideration is given to representations of Indonesians in the film and theatre of its neighboring countries as a measure of awareness of each other's respective cultures.  Workshops provide opportunities for students to combine their knowledge of Indonesian language and culture to practical projects related to film or theatre. The primary language of this unit is Indonesian.",,,,,,,,
"ATS3124","Everyday life in the Soviet Union","Faculty of Arts","[]",6,0.125,"Twelve credit points of second-year Arts units.","ATS2124",1,"The unit will examine how Communism transformed everyday life in the Soviet Union by reshaping social structures and communal ties. How did the Bolshevik ascent to power reshape the private sphere? How did the Communist authorities try to create the New Soviet Man and Woman and forge a new, Soviet national identity? What relevance do these efforts have for understanding today's post-Cold War Eastern European politics? Through literature, films, memoir, and other primary sources, students will study and analyse the impact of politics on popular culture, work, family life, education, humour, and gender relations. Readings, lectures, and tutorial discussions will explore the degree to which individuals carved out private spaces at home, at work, and in social circles to limit the impact of politics on private life. The unit will begin with a background on Russian politics and culture before the establishment of Communist governments and will end with an examination of the USSR's collapse and its aftermath. Discussions of primary sources in tutorials will provide students with the skills to analyse similar primary sources in their written work.",,,,,,,,
"ATS3129","Arts internship","Faculty of Arts","[[['Clayton'], ['First semester 2017 (Flexible)', 'Second semester 2017 (Flexible)', 'Summer semester A (starts November) 2017 (Flexible)', 'Summer semester B (starts January) 2017 (Flexible)', 'Term 3 2017 (Flexible)', 'Winter semester 2017 (Flexible)']]]",12,0.25,"Students who have attained a distinction average and who have completed 96 points of study with a minimum of 48 points in Arts",,1," Students are placed as interns with a host partner organisation and complete either a unique research project or work experience-based project jointly defined by the host partner organisation and the unit coordinator. The host partner organisations are from a diverse range of industries and sectors, including government departments, private industry and not-for-profit organisations. Students communicate the research or work experience in a final project in the format specified by the host partner organisation, such as a research report, consultation paper, manual or submission. The host partner organisation provides field supervision and the faculty provides academic supervision.The main component of the unit involves students undertaking a minimum of 144 hours equivalent of placement in order to complete a final project agreed upon between the host partner organisation and the faculty. The host partner organisation will appoint a field supervisor for the project although the Chief Examiner remains the principal assessor for the unit.",,,,,,,,
"ATS3130","Arts international internship","Faculty of Arts","[[['Clayton'], ['First semester 2017 (Flexible)', 'Second semester 2017 (Flexible)', 'Summer semester A (starts November) 2017 (Flexible)', 'Summer semester B (starts January) 2017 (Flexible)', 'Term 3 2017 (Flexible)', 'Winter semester 2017 (Flexible)']], [['Prato'], ['Summer semester A (starts November) 2017 (Flexible)', 'Term 3 2017 (Flexible)', 'Trimester 3 2017 (Flexible)', 'Term 4 2017 (Flexible)']]]",12,0.25,"Students who have attained a distinction average and who have completed 96 points of study with a minimum of 48 points in Arts",,1,"Students are placed as interns with a host partner organisation and complete either a unique research project or work experience-based project jointly defined by the host partner organisation and the unit coordinator. The host partner organisations are from a diverse range of industries and sectors, including government departments, private industry and not-for-profit organisations. Students communicate the research or work experience in a final project in the format specified by the host partner organization and unit coordinator, such as a research report, consultation paper, manual or submission. The host partner organisation provides field supervision and the faculty provides academic supervision. The main component of the unit involves students undertaking a minimum of 144 hours equivalent of placement in order to complete a final project agreed upon between the host partner organisation and the faculty. The host partner organisation will appoint a field supervisor for the project although the chief examiner remains the principal assessor for the unit.",,,,,,,,
"ATS3135","War and memory: Resistance, massacre and representation in second world war Italy","Faculty of Arts","[[['Prato'], ['Trimester 3 2017 (On-campus block of classes)']]]",6,0.125,"Twelve credit points of second-year Arts units.","ATS2335",1,"Through seminars, workshops and fieldwork this unit will examine how conflict has been represented, remembered and memorialised. The unit will have a specific focus on World War 2, the Italian Resistance, and the massacre of civilians in Tuscany and Emilia Romagna. The unit will consider how written and visual responses to these events, material forms of remembrance - monuments, memorials, museums,  and cemeteries in, or within reach of Prato - each function to memorialise the dead and how in articulating political and national ideologies, such sites acknowledge and incorporate countervailing ideologies and the contradictory testimony of survivors. The unit will unpack, examine and critique the complex inter-relations between media, memory and war, exploring how in pursuit of specific political and cultural goals, memories of conflict are created, constructed and recovered through an array of artistic and memorial forms. Students will be invited to move beyond a purely theoretical understanding of these issues by visiting museums, massacre sites and their memorials, examining and critiquing their mediation and creating a critical/creative response to one such site.",,,,,,,,
"ATS3136","Performance 5","Faculty of Arts","[[['Clayton'], ['First semester 2017 (Day)', 'Second semester 2017 (Day)']]]",6,0.125," ATS2123 or ATS2809This unit is only available to students enrolled in a Bachelor of Music single or double degree - Music performance specialisation.","ATS3830",1,"This unit consolidates advanced skills in music performance developed in ATS2123 Performance 4. Students further develop technical and performance skills by studying technically focused repertoire drawn from the literature of the student's principal instrument or voice. The choice of repertoire should consolidate and go beyond the level of skills attained in ATS2123 Performance 4. This prepares students for the repertoire-based focus of the final unit in the sequence, ATS3137 Performance 6.",,,,,,,,
"ATS3137","Performance 6","Faculty of Arts","[[['Clayton'], ['First semester 2017 (Day)', 'Second semester 2017 (Day)']]]",6,0.125," ATS3830 or ATS3136This unit is only available to students enrolled in a Bachelor of Music single or double degree - Music performance specialisation.","ATS3831",1,"The unit consolidates and extends advanced skills in music performance developed in ATS3136 Performance 5. Students further develop technical and performance skills by presenting literature drawn from the repertoire of the student's principal instrument or voice. The choice of repertoire should consolidate and go beyond the level of skills attained in ATS3136 Performance 5.",,,,,,,,
"ATS3139","Extended major research unit","Faculty of Arts","[[['Clayton'], ['First semester 2017 (Day)', 'Second semester 2017 (Day)', 'Summer semester A (starts November) 2017 (Flexible)']]]",12,0.25,"Approval by co-ordinator of major",,1,"This unit allows students to build on the critical and analytical skills developed through the major by having the opportunity to develop a research project tailored to their disciplinary interests. Special permission to undertake this unit must be obtained from the co-ordinator of the major.",,,,,,,,
"ATS3140","Composition 5","Faculty of Arts","[[['Clayton'], ['First semester 2017 (Day)', 'Second semester 2017 (Day)']]]",6,0.125," ATS2128 or ATS2809This unit is only available to students enrolled in a Bachelor of Music single or double degree - Music composition specialisation.","ATS3830",1,"This unit consolidates advanced skills in composition developed in ATS2128 Composition 4. Students further develop technical skills by conceiving of and articulating the conceptual basis for a distinctive original work. Students also study the development of diverse sonic materials analogously from a work's conceptual basis. This prepares students for the extended focus of the final unit in the sequence, ATS3141 Composition 6.",,,,,,,,
"ATS3141","Composition 6","Faculty of Arts","[[['Clayton'], ['First semester 2017 (Day)', 'Second semester 2017 (Day)']]]",6,0.125," ATS3140 or ATS3830This unit is only available to students enrolled in a Bachelor of Music single or double degree - Music composition specialisation.","ATS3831",1,"The unit consolidates and extends advanced skills in composition developed in ATS3140 Composition 5. Students further develop technical skills by refining a personal compositional methodology influenced by various techniques and approaches. Students then apply this compositional methodology to develop well-articulated concepts for substantial works that integrate several distinct layers of material.",,,,,,,,
"ATS3142","Creative music technology 5","Faculty of Arts","[[['Clayton'], ['First semester 2017 (Day)']]]",6,0.125," ATS2130 or ATS2809This unit is only available to students enrolled in a Bachelor of Music single or double degree - Creative music technology specialisation.","ATS3830",1,"This unit consolidates advanced skills in creative music technology developed in ATS2130 Creative music technology 4. Students further develop technical skills by conceptualising and articulating a distinctive work (for example, a performance or installation). Students develop new strategies and refine personal 'sound' production values in relation to this task, and this prepares them for the extended focus of the final unit in the sequence, ATS3143 Creative music technology 6.",,,,,,,,
"ATS3143","Creative music technology 6","Faculty of Arts","[[['Clayton'], ['Second semester 2017 (Day)']]]",6,0.125," ATS3142 or ATS3830This unit is only available to students enrolled in a Bachelor of Music single or double degree - Creative music technology specialisation.","ATS3831",1,"The unit consolidates and extends advanced skills in creative music technology developed in ATS3142 Creative music technology 5. Students further develop technical skills by creating a final work, encompassing recordings, productions and live performance. This final work should consolidate and go beyond the level of skills attained in ATS3142 Creative music technology 5.",,,,,,,,
"ATS3144","Music research in the digital age","Faculty of Arts","[]",6,0.125,"Twelve credit points of second-year Arts units.",,1,"The unit provides students with the opportunity to engage with the Internet, both as a source of information and as a medium for the dissemination of music research. Through a series of lectures, students learn about basic research methodologies (for example, observation/participation-observation, interviewing, the use photography, video and sound recordings, and so forth), as well as some of the ways in which music scholars use contemporary technology in research projects and in the dissemination of research findings. By applying the skills learned in class, students then undertake a research project to document a particular music setting or performance group. Following, students use original research data to construct an ethnographic website that incorporates texts, still and moving images, and sound recordings.",,,,,,,,
"ATS3145","Japanese proficient 1","Faculty of Arts","[[['Clayton'], ['First semester 2017 (Day)']]]",6,0.125,"Japanese Intermediate 2 or equivalent","ATS2145",1,"This is the first part of a sequence in upper intermediate Japanese. This unit covers both spoken language and contemporary written language and aims to enhance student's knowledge about Japan and the different varieties of the language. The unit also aims to develop student's study skills and intercultural competence.",,,,,,,,
"ATS3146","Japanese proficient 2","Faculty of Arts","[[['Clayton'], ['Second semester 2017 (Day)']]]",6,0.125,"Japanese Proficient 1 or equivalent","ATS1146, ATS2146",1,"This is the second part of a sequence in upper intermediate Japanese. This unit covers both spoken language and contemporary written language and aims to enhance students' knowledge about Japanese modern and traditional culture. The unit also aims to develop students' research skills and intercultural competence.",,,,,,,,
"ATS3147","Japanese studies advanced 1","Faculty of Arts","[[['Clayton'], ['First semester 2017 (Day)']]]",6,0.125,"Japanese Proficient 2 or equivalent","ATS4147",1,"This is the first part of a sequence progressing from the intermediate to the advanced levels of Japanese. It covers spoken language and contemporary written language through various activities integrating listening, speaking, reading and writing. Activities are built around topics relating to Japanese communication strategies, social issues, their values, and to cultural interaction.  This course will provide students with an opportunity to critically analyse information from Japanese-language media regarding current and/or historical issues, write effective narrative/biographical and explanatory reports by using formal and academic Japanese.",,,,,,,,
"ATS3148","Japanese studies advanced 2","Faculty of Arts","[[['Clayton'], ['Second semester 2017 (Day)']]]",6,0.125,"ATS3147 or equivalent","ATS4148",1,"This is the second part of a sequence progressing from the intermediate to the advanced levels of Japanese. Activities are built around topics relating to contemporary and historical topics of Japan. This unit will provide students with further opportunities to use formal and academic Japanese with confidence while communicating with Japanese-speaking people in interviews and in-class oral presentations. Students will reinforce 1006 kyooiku kanji.",,,,,,,,
"ATS3151","Japanese studies advanced: Current issues","Faculty of Arts","[[['Clayton'], ['First semester 2017 (Day)']]]",6,0.125,"ATS3148 or equivalent","ATS4151",1,"This unit provides advanced level students an opportunity to engage with contemporary issues and developments in Japan. Using authentic materials, students will strengthen reading, writing and speaking skills and expand knowledge of the Japanese language and culture.",,,,,,,,
"ATS3152","Japanese studies advanced: Literature and film","Faculty of Arts","[]",6,0.125,"ATS3148 or equivalent","ATS4152",1,"This unit is designed to develop students' Japanese language skills to an advanced level, while introducing them to Japanese literature and film, as well as approaches to literary translation and subtitling. Students will develop reading and listening skills, research skills using Japanese resources, discussion skills, and will use a variety of Japanese media, including the Internet. Writing skills to be developed include translation, summary, synthesis and argument in essay writing. Teaching materials will relate to Japanese literature, focusing on modern and contemporary Japanese literature and film.",,,,,,,,
"ATS3153","Music research project","Faculty of Arts","[[['Clayton'], ['Second semester 2017 (Day)']]]",6,0.125,"Twelve credit points of second-year Arts units.",,1,"The unit allows students to devise and undertake an independent music research project under supervision and follow it through to completion at the end of the semester. Possible projects may include archival work, the construction of a musical instrument, the preparation of a series of radio programs, the organisation of an exhibition or the preparation of a journal article.",,,,,,,,
"ATS3157","Sources of religious violence: Texts and contexts","Faculty of Arts","[[['Clayton'], ['Second semester 2017 (Day)']]]",6,0.125,,,1,"Religious texts from many traditions frequently invoke imagery of violence, war and struggle while also celebrating ideals of harmony, peace and justice. Do such texts make religions responsible for promoting violence, or is this a consequence of specific contexts, political, social and economic that shape the way such texts are interpreted? Is there any place for such rhetoric in contemporary society? This unit looks at a range of texts from Eastern religions and from Judaism, Christianity and Islam, in both past and present manifestations, to consider how their interpreters have engaged with the question of legitimizing violence and war against minorities or other groups in society and how such imagery may shape their understanding of an ideal world.",,,,,,,,
"ATS3164","Italian transformations: Reading and writing self-discovery","Faculty of Arts","[[['Prato'], ['Trimester 3 2017 (On-campus block of classes)']]]",6,0.125,"Twelve credit points of second-year Arts units.","ATS2164",1,"The unit will explore a selection of fiction and non-fiction texts that treat Italy as a site for transformations of the self. These self-discoveries are usually cast as positive but are on occasion of a more unsettling or disturbing kind. The unit will  investigate why Italy has been a key site  of renewal and 'undoing' in literature and will track the changes in the way such transformations of the self have been achieved. It will also account for the popularity of such narratives with readers past and present. In this unit there will be an emphasis on 'geo-located' reading experiences and writing exercises. For this reason there will be a particular focus on 'Tuscan transformations'"," we will visit the actual sites and scenes of our texts and there will also be regular in situ writing excursions in Prato and surrounds.",,,,,,,
"ATS3170","Arts international experience","Faculty of Arts","[]",6,0.125,,"ATS2170",1,"This unit aims to develop students' intercultural competency and to foster their sense of global citizenship through academically relevant international experiences. Students will be required to undertake tasks which involve research and reflection prior to departure, during and after the conclusion of the in-country program elements.",,,,,,,,
"ATS3175","Korean proficient 1","Faculty of Arts","[[['Clayton'], ['First semester 2017 (Day)']]]",6,0.125,"ATS2174 or equivalent","ATS2175",1,"Building on the language skills, communication strategies and knowledge of Korean history, culture and society that students have acquired so far, this unit is designed to help students develop an ability to engage in moderately sophisticated conversations and to comprehend diverse reading materials. Students will also develop a deeper understanding of the relationship between language and culture, thereby appreciating the validity of different ways of perceiving experiences.",,,,,,,,
"ATS3176","Korean proficient 2","Faculty of Arts","[[['Clayton'], ['Second semester 2017 (Day)']]]",6,0.125,"ATS2175 or equivalent","ATS2176",1,"This unit is designed to help students further develop their language skills and knowledge of Korean history, culture and society, with special emphasis on connecting with other disciplines and advanced self-learning skills, which will support their Korean study after finishing the course.",,,,,,,,
"ATS3177","Korean translation","Faculty of Arts","[[['Clayton'], ['Second semester 2017 (Day)']]]",6,0.125,"ATS3175 or equivalent",,1,"This unit is designed to provide an introduction to Korean-English and English-Korean translation. Students will be introduced to translation theories and techniques, with special emphasis on cross-cultural and cross-linguistics issues specific to translating between the two languages. The unit will look at a variety of textual genres, including subtitling and scanlation.",,,,,,,,
"ATS3194","Sacred cities: Between co-existence and persecution","Faculty of Arts","[]",12,0.25,,,1,"This two-week intensive study abroad unit looks at both co-existence and persecution within a particular city or cities through which this process can be observed, whether famous for their sacred places (Rome, Jerusalem, Istanbul), or important as places of interaction and persecution(like Cordoba, Toledo and Barcelona). In particular it explores the extent to which religion and politics have intersected to create a particular vision of society at different points of time, with attention to the way these cities have responded to the challenge of religious diversity, both in the past and in the present. The unit thus introduces Judaism, Christianity and Islam through the lived experiences of specific cities with traditions of religious diversity.",,,,,,,,
"ATS3195","Spanish proficient 1","Faculty of Arts","[[['Clayton'], ['First semester 2017 (Day)']]]",6,0.125,"ATS2194 or by permission","ATS2195",1,"This unit further develops students' spoken and written communication skills in Spanish. Emphasis is placed on developing fluency and understanding. The unit furthermore explores particular aspects of Spanish and Latin American cultures and societies. This unit also consolidates students' critical thought and further develops their research skills. The language of instruction is Spanish.",,,,,,,,
"ATS3196","Spanish proficient 2","Faculty of Arts","[[['Clayton'], ['Second semester 2017 (Day)']]]",6,0.125,"ATS3195 or special permission from the unit coordinator.","ATS1196, ATS2196",1,"Upon completion of this unit, students should have developed an advanced level in their reading, writing, oral and aural skills in Spanish. Particular emphasis is placed on advanced reading and writing, as well as a sound knowledge of contemporary Spanish and Latin American societies and cultures. Students are expected to consolidate their knowledge of essay writing by using a wide range of genre styles that reflect an advanced level of the language and interact effectively in Spanish taking into consideration the social setting where the discourse takes place as well as the sociological factors of participants.",,,,,,,,
"ATS3197","Spanish studies advanced 1","Faculty of Arts","[[['Clayton'], ['First semester 2017 (Day)']]]",6,0.125,"ATS1196 or ATS2196","ATS2197",1,"This unit provides students with an introduction to conducting research in Spanish and Latin American Studies. This unit will enable students to read critically and record responses to readings"," to synthesise and evaluate diverse material on a single topic"," to search databases for articles and books relevant to their research area"," to present and distinguish the ideas of others according to academic conventions.",,,,,
"ATS3198","Spanish studies advanced 2","Faculty of Arts","[]",6,0.125,"ATS2197 or ATS3197 or by permission","ATS2198",1,"This unit introduces students to the study of myths and stereotypes of the Spanish and Latin American worlds, focusing particularly on perceptions and understandings of reality. The unit, conducted in Spanish, explores how cultural producers (writers, filmmakers, artists, etc.) have interrogated and re-configured the world around them. Students will develop and apply analytical and critical skills to the study of different cultural texts and compare and contrast trans-national representations of self, home, nation and the world.",,,,,,,,
"ATS3207","Film and society in Spain and Latin America","Faculty of Arts","[]",6,0.125,"ATS2194 and ATS2195 or by permission","ATS2207",1,"This unit introduces students to a variety of Spanish and Latin American films, with particular emphasis on recent material by contemporary directors. This unit will further deepen the student's knowledge and understanding of Spanish and Latin American cultures via the medium of film. The unit aims to develop an awareness of different critical approaches to film analysis, including genre, style and the interaction between films and their socio-cultural contexts. The unit covers issues such as identity, sexuality, history, colonialism and nationalism.",,,,,,,,
"ATS3208","In the footsteps of refugees","Faculty of Arts","[[['Caulfield'], ['Term 3 2017 (Flexible)']]]",12,0.25,"Twelve credit points of second-year Arts units.","ATS2208",1,"This intensive unit will examine one of the largest and most visible refugee movements of the late twentieth century, in which more than two million Vietnamese left their homeland in the two decades following the end of the Vietnam War in 1975. It will include a field trip to Vietnam and Indonesia, and explore the site of the former refugee camp of Pulau Galang in Indonesia. Galang is a site of pilgrimage for survivors and the only former refugee camp to have been preserved. A series of lectures and seminars will introduce students to the experiences of Vietnamese refugees, and students will be able to reflect on the refugees' journeys, their resettlement experiences in Australia, and the nature of remembrance.",,,,,,,,
"ATS3210","Study tour: Crime and criminal justice in Asia","Faculty of Arts","[[[], ['Summer semester A (starts November) 2017 (Day)']]]",12,0.25,"Two gateway units in Criminology.",,1,"In this unit, students learn about cultural and socio-economic development of Asian countries and its relevance to crime and justice through an intensive study tour programme to countries in Asia. This unit will analyse issues affecting our region and consider how dominant Western ideas of criminological theory and research might/might not apply in Asian countries through comparative studies. It will give students opportunities to learn from experienced academics and professional practitioners such as police, crime investigation agents, prosecutors, judges, prison staff and NGOs in Asia. Examples of topics include, policing, crime control, legal system, prisons and punishment, social inequality and crime, and juvenile justice.",,,,,,,,
"ATS3214","Italy on film (In country)","Faculty of Arts","[]",6,0.125,,"ATS2214",1,"This unit introduces students to post-war Italian cinema and its cultural contexts and gives an opportunity to view and discuss films by Scola, Rossellini, Visconti, Benigni, and others. The unit familiarises students with a variety of critical approaches and allows them to analyse the films as representatives of specific cinematographic genres and styles, and as reflections on and interpretations of post-war Italian culture. The unit covers issues such as wartime resistance; fascism; migration within, from and to Italy amongst others.",,,,,,,,
"ATS3215","Global creative cities","Faculty of Arts","[]",6,0.125,"Two gateway units in either Film and screen studies, Communication and media studies, Journalism or approved equivalent.",,1,"In this unit students will be introduced to the themes of 'creative cities' in the specific context of urban change and regeneration in contemporary Italy and European cities more generally. These themes include the production and consumption of culture (media and film industries; media cities; cultural production clusters; culture-led urban regeneration; and city branding and identity through culture. The focus will be both larger (Milan, Bologna, Roma) and smaller (Prato, Florence) Italian cities, which will provide field work sites and case studies. This unit, taught intensively in block mode, may also include field trips to cities outside of Italy.",,,,,,,,
